id,slug,name_en,name_de,definition_en,definition_de,url,doi,license,author_orcid
AUG-0233,2am-breakthrough,The 2AM Breakthrough,The 2AM Breakthrough,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/2am-breakthrough/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0791,academic-integrity-line,The Academic Integrity Line,The Academic Integrity Line,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/academic-integrity-line/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0703,academic-register,The Academic Register,The Academic Register,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/academic-register/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0259,accent-eraser,The Accent Eraser,The Accent Eraser,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/accent-eraser/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0711,accent-persistence,The Accent Persistence,The Accent Persistence,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/accent-persistence/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0213,access-architecture,The Access Architecture,The Access Architecture,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/access-architecture/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0724,access-cost-factor,The Access Cost Factor,The Access Cost Factor,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/access-cost-factor/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0721,access-differential,The Access Differential,The Access Differential,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/access-differential/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0945,access-structure,The Access Structure,The Access Structure,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/access-structure/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0723,accesses-infrastructure-effect,Accesses-Infrastructure Effect,Smartphone-Only World,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/accesses-infrastructure-effect/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0518,accessibility-eye,The Accessibility Eye,The Accessibility Eye,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/accessibility-eye/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0160,accountability-anchor,The Accountability Anchor,The Accountability Anchor,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/accountability-anchor/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0958,accountability-chain,The Accountability Chain,The Accountability Chain,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/accountability-chain/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0391,accuracy-checker,The Accuracy Checker,The Accuracy Checker,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/accuracy-checker/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0269,action-toggle,The Action Toggle,The Action Toggle,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/action-toggle/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-STAGE0-activation-affect-phenomenon,activation-affect-phenomenon,Activation-Affect Phenomenon,Adrenalin-Gefühl,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/activation-affect-phenomenon/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0935,adaptive-extension,The Adaptive Extension,The Adaptive Extension,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/adaptive-extension/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0099,adoption-window,The Adoption Window,The Adoption Window,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/adoption-window/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0770,age-appropriate-use,The Age-Appropriate Use,The Age-Appropriate Use,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/age-appropriate-use/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0751,age-competence-assumption,The Age-Competence Assumption,The Age-Competence Assumption,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/age-competence-assumption/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0897,agent-boundary,The Agent Boundary,The Agent Boundary,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/agent-boundary/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0864,agent-configuration,The Agent Configuration,The Agent Configuration,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/agent-configuration/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0892,agent-conflict,The Agent Conflict,The Agent Conflict,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/agent-conflict/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0889,agent-ensemble,The Agent Ensemble,The Agent Ensemble,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/agent-ensemble/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0859,agent-handshake,The Agent Handshake,The Agent Handshake,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/agent-handshake/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0880,agent-identity,The Agent Identity,The Agent Identity,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/agent-identity/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
AUG-0985,agent-literacy,The Agent Literacy,The Agent Literacy,,,https://andreasehstandlicenseofclarityloc.github.io/augmanitai-stage-0/atlas/agent-literacy/,10.5281/zenodo.20118267,CC-BY-NC-ND-4.0,0009-0006-3773-7796
